imagen,numero_serie
Cilindro_001/1.Frontal/IMG_20260903_145645.jpg,21S491074
Cilindro_001/2.Diagonal/IMG_20260903_145740.jpg,21S491074
Cilindro_001/3.Cerca/IMG_20260903_145818.jpg,21S491074
Cilindro_001/4.Lejos/IMG_20260903_145852.jpg,21S491074
Cilindro_001/5.Luz normal/IMG_20260903_145925.jpg,21S491074
Cilindro_001/6.Poca luz/IMG_20260903_145913.jpg,21S491074
Cilindro_002/1.Frontal/IMG_20260903_150719.jpg,19S206055
Cilindro_002/2.Diagonal/IMG_20260903_150733.jpg,19S206055
Cilindro_002/3.Cerca/IMG_20260903_150814.jpg,19S206055
Cilindro_002/4.Lejos/IMG_20260903_150818.jpg,19S206055
Cilindro_002/5.Luz normal/IMG_20260903_150826.jpg,19S206055
Cilindro_002/6.Poca luz/IMG_20260903_150833.jpg,19S206055
Cilindro_003/1.Frontal/IMG_20260903_151807.jpg,20S297152
Cilindro_003/2.Diagonal/IMG_20260903_151824.jpg,20S297152
Cilindro_003/3.Cerca/IMG_20260903_151833.jpg,20S297152
Cilindro_003/4.Lejos/IMG_20260903_151839.jpg,20S297152
Cilindro_003/5.Luz normal/IMG_20260903_151853.jpg,20S297152
Cilindro_003/6.Poca luz/IMG_20260903_151905.jpg,20S297152
Cilindro_004/1.Frontal/IMG_20260903_152337.jpg,21S491131
Cilindro_004/2.Diagonal/IMG_20260903_152410.jpg,21S491131
Cilindro_004/3.Cerca/IMG_20260903_152427.jpg,21S491131
Cilindro_004/4.Lejos/IMG_20260903_152434.jpg,21S491131
Cilindro_004/5.Luz normal/IMG_20260903_152457.jpg,21S491131
Cilindro_004/6.Poca luz/IMG_20260903_152507.jpg,21S491131
Cilindro_005/1.Frontal/IMG_20260903_152953.jpg,21S062014
Cilindro_005/2.Diagonal/IMG_20260903_153050.jpg,21S062014
Cilindro_005/3.Cerca/IMG_20260903_153055.jpg,21S062014
Cilindro_005/4.Lejos/IMG_20260903_153100.jpg,21S062014
Cilindro_005/5.Luz normal/IMG_20260903_153105.jpg,21S062014
Cilindro_005/6.Poca luz/IMG_20260903_153109.jpg,21S062014
Cilindro_006/1.Frontal/IMG_20260903_153426.jpg,LEE5172
Cilindro_006/2.Diagonal/IMG_20260903_153435.jpg,LEE5172
Cilindro_006/3.Cerca/IMG_20260903_153443.jpg,LEE5172
Cilindro_006/4.Lejos/IMG_20260903_153455.jpg,LEE5172
Cilindro_006/5.Luz normal/IMG_20260903_153503.jpg,LEE5172
Cilindro_006/6.Poca luz/IMG_20260903_153507.jpg,LEE5172
Cilindro_007/1.Frontal/IMG_20260903_153730.jpg,N429153
Cilindro_007/2.Diagonal/IMG_20260903_153737.jpg,N429153
Cilindro_007/3.Cerca/IMG_20260903_153752.jpg,N429153
Cilindro_007/4.Lejos/IMG_20260903_153759.jpg,N429153
Cilindro_007/5.Luz normal/IMG_20260903_153835.jpg,N429153
Cilindro_007/6.Poca luz/IMG_20260903_153840.jpg,N429153
Cilindro_008/1.Frontal/IMG_20260903_154202.jpg,21S062189
Cilindro_008/2.Diagonal/IMG_20260903_154213.jpg,21S062189
Cilindro_008/3.Cerca/IMG_20260903_154231.jpg,21S062189
Cilindro_008/4.Lejos/IMG_20260903_154239.jpg,21S062189
Cilindro_008/5.Luz normal/IMG_20260903_154246.jpg,21S062189
Cilindro_008/6.Poca luz/IMG_20260903_154252.jpg,21S062189
Cilindro_009/1.Frontal/IMG_20260903_154510.jpg,21S061102
Cilindro_009/2.Diagonal/IMG_20260903_154517.jpg,21S061102
Cilindro_009/3.Cerca/IMG_20260903_154550.jpg,21S061102
Cilindro_009/4.Lejos/IMG_20260903_154603.jpg,21S061102
Cilindro_009/5.Luz normal/IMG_20260903_154621.jpg,21S061102
Cilindro_009/6.Poca luz/IMG_20260903_154628.jpg,21S061102
Cilindro_010/1.Frontal/IMG_20260903_155319.jpg,21K794123
Cilindro_010/2.Diagonal/IMG_20260903_155330.jpg,21K794123
Cilindro_010/3.Cerca/IMG_20260903_155346.jpg,21K794123
Cilindro_010/4.Lejos/IMG_20260903_155354.jpg,21K794123
Cilindro_010/5.Luz normal/IMG_20260903_155400.jpg,21K794123
Cilindro_010/6.Poca luz/IMG_20260903_155406.jpg,21K794123
Cilindro_011/1.Frontal/IMG_20260903_155624.jpg,21K435151
Cilindro_011/2.Diagonal/IMG_20260903_155634.jpg,21K435151
Cilindro_011/3.Cerca/IMG_20260903_155641.jpg,21K435151
Cilindro_011/4.Lejos/IMG_20260903_155649.jpg,21K435151
Cilindro_011/5.Luz normal/IMG_20260903_155655.jpg,21K435151
Cilindro_011/6.Poca luz/IMG_20260903_155704.jpg,21K435151
Cilindro_012/1.Frontal/IMG_20260903_160032.jpg,K5732159
Cilindro_012/2.Diagonal/IMG_20260903_160042.jpg,K5732159
Cilindro_012/3.Cerca/IMG_20260903_160104.jpg,K5732159
Cilindro_012/4.Lejos/IMG_20260903_160110.jpg,K5732159
Cilindro_012/5.Luz normal/IMG_20260903_160118.jpg,K5732159
Cilindro_012/6.Poca luz/IMG_20260903_160124.jpg,K5732159
Cilindro_013/1.Frontal/IMG_20260903_160440.jpg,20K622093
Cilindro_013/2.Diagonal/IMG_20260903_160450.jpg,20K622093
Cilindro_013/3.Cerca/IMG_20260903_160526.jpg,20K622093
Cilindro_013/4.Lejos/IMG_20260903_160533.jpg,20K622093
Cilindro_013/5.Luz normal/IMG_20260903_160537.jpg,20K622093
Cilindro_013/6.Poca luz/IMG_20260903_160547.jpg,20K622093
Cilindro_014/1.Frontal/IMG_20260903_160947.jpg,21K622173
Cilindro_014/2.Diagonal/IMG_20260903_160955.jpg,21K622173
Cilindro_014/3.Cerca/IMG_20260903_161005.jpg,21K622173
Cilindro_014/4.Lejos/IMG_20260903_161015.jpg,21K622173
Cilindro_014/5.Luz normal/IMG_20260903_161015.jpg,21K622173
Cilindro_014/6.Poca luz/IMG_20260903_161020.jpg,21K622173
Cilindro_015/1.Frontal/IMG_20260903_161258.jpg,20640
Cilindro_015/2.Diagonal/IMG_20260903_161311.jpg,20640
Cilindro_015/3.Cerca/IMG_20260903_161319.jpg,20640
